"","X","Season","Round","Date","Local.start.time","Venue","Attendance","Home.team","HQ1G","HQ1B","HQ2G","HQ2B","HQ3G","HQ3B","HQ4G","HQ4B","Home.score","Home.coach","Home.coach.DOB","Away.team","AQ1G","AQ1B","AQ2G","AQ2B","AQ3G","AQ3B","AQ4G","AQ4B","Away.score","Away.coach","Away.coach.DOB","First.name","Surname","ID","DOB","Height","Weight","Jumper.No.","Playing.for","Kicks","Marks","Handballs","Goals","Behinds","Hit.Outs","Tackles","Rebounds","Inside.50s","Clearances","Clangers","Frees.For","Frees.Against","Brownlow.Votes","Contested.Possessions","Uncontested.Possessions","Contested.Marks","Marks.Inside.50","One.Percenters","Bounces","Goal.Assists","Time.on.Ground..","Substitute","Umpire.1","Umpire.2","Umpire.3","Umpire.4","year","month","day","pavO","pavD","pavM"
"1",20277,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Rory","Atkins",12381,"12/07/1994",186,85,21,"Adelaide",8,4,5,0,0,0,1,1,2,2,0,1,0,0,5,7,1,0,0,2,0,80,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,147,26,74
"2",20278,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Eddie","Betts",4060,"26/11/1986",175,73,18,"Adelaide",12,6,5,5,1,0,1,0,4,1,2,1,0,2,10,8,1,3,2,0,3,92,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,161,20,84
"3",20279,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Luke","Brown",12106,"22/09/1992",183,81,16,"Adelaide",20,7,6,0,0,0,6,6,3,1,5,0,1,0,5,20,0,0,1,1,0,89,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,146,137,82
"4",20280,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Kyle","Cheney",11721,"25/08/1989",187,90,25,"Adelaide",10,5,3,0,0,0,3,3,0,0,2,1,1,0,3,10,1,0,4,0,0,84,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,144,113,9
"5",20281,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Brad","Crouch",12156,"14/01/1994",185,87,2,"Adelaide",14,0,9,1,0,0,3,0,3,6,1,1,0,0,11,10,0,0,0,2,1,67,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,151,2,175
"6",20282,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Matt","Crouch",12258,"21/04/1995",183,82,44,"Adelaide",11,1,13,0,0,0,5,2,3,7,5,2,1,0,13,11,0,0,0,0,0,77,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,148,43,201
"7",20283,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Richard","Douglas",2381,"6/02/1987",181,80,26,"Adelaide",6,2,8,0,1,0,2,0,4,6,1,1,0,0,9,6,0,1,1,1,0,76,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,150,12,187
"8",20284,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Kyle","Hartigan",6623,"7/11/1991",195,98,15,"Adelaide",5,5,8,0,0,0,5,3,0,0,1,1,1,0,7,8,1,0,7,0,0,80,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,144,149,15
"9",20285,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Sam","Jacobs",11708,"10/04/1988",202,102,24,"Adelaide",5,2,10,0,0,41,1,0,0,2,3,1,2,0,8,7,2,0,2,0,0,90,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,153.25,-3.33333333333333,103.5
"10",20286,2016,"2","2016-04-02",1315,"Adelaide Oval",51585,"Adelaide",6,4,13,5,19,7,22,12,144,"Don Pyke","5/12/1968","Port Adelaide",1,2,4,8,7,12,11,20,86,"Ken Hinkley","30/09/1966","Josh","Jenkins",12074,"8/02/1989",200,108,4,"Adelaide",10,7,3,4,2,5,2,0,2,1,2,1,0,0,3,10,0,5,3,0,3,91,0,"Chris Donlon","Ray Chamberlain","Brent Wallace","",2016,4,2,162.25,21.6666666666667,64.5
