,Playing.for,First.name,Surname,ID,Name
1,Carlton,Bill,Ahern,4415,Bill Ahern
2,Carlton,Jimmy,Aitken,4416,Jimmy Aitken
3,Carlton,Bob,Armstrong,4417,Bob Armstrong
4,Carlton,Tom,Blake,4419,Tom Blake
5,Carlton,Otto,Buck,4421,Otto Buck
737,Adelaide,Charlie,Cameron,12277,Charlie Cameron
7,Carlton,Bill,Casey,4424,Bill Casey
8,Carlton,Arthur,Cummins,4427,Arthur Cummins
9,Carlton,Henry,Dunne,4428,Henry Dunne
10,Carlton,Brook,Hannah,4432,Brook Hannah
11,Carlton,Ted,Heffernan,4433,Ted Heffernan
12,Carlton,George,Johnston,4435,George Johnston
13,Carlton,Henry,McPetrie,4439,Henry McPetrie
14,Carlton,Wally,OCock,4441,Wally OCock
15,Carlton,Joe,Paton,4442,Joe Paton
16,Carlton,Jack,Reekie,4445,Jack Reekie
17,Carlton,Tom,Sweetman,4448,Tom Sweetman
18,Carlton,Ernie,Walton,4450,Ernie Walton
19,Carlton,Bill,Weir,4451,Bill Weir
20,Carlton,Bill,Woodhouse,4453,Bill Woodhouse
21,Carlton,Sam,Chapman,4425,Sam Chapman
22,Carlton,Harry,Gyles,4431,Harry Gyles
23,Carlton,Harry,Howard,4434,Harry Howard
24,Carlton,Alby,Patterson,4443,Alby Patterson
25,Carlton,Peter,Williams,4452,Peter Williams
26,Carlton,Chic,Breese,4420,Chic Breese
27,Carlton,Jim,Caffery,4422,Jim Caffery
28,Carlton,Jim,Lyons,4437,Jim Lyons
29,Carlton,Harry,Morgan,4440,Harry Morgan
30,Carlton,Bobby,Walsh,4449,Bobby Walsh
31,Carlton,Henry,Crane,4426,Henry Crane
32,Carlton,Jack,Frost,4429,Jack Frost
33,Carlton,Jack,Roberts,4447,Jack Roberts
34,Carlton,Oscar,Manchester,4438,Oscar Manchester
35,Carlton,Bill,Patterson,4444,Bill Patterson
36,Carlton,Sam,Reid,4446,Sam Reid
37,Carlton,Herbie,Lowenthal,4436,Herbie Lowenthal
38,Carlton,Jim,Goonan,4430,Jim Goonan
39,Carlton,Billy,Arnott,4418,Billy Arnott
40,Carlton,Fred,Barlow,4595,Fred Barlow
41,Carlton,Charlie,Brown,4596,Charlie Brown
42,Carlton,Len,Morrison,4607,Len Morrison
43,Carlton,Tommy,ODay,4608,Tommy ODay
44,Carlton,Jim,Pender,4610,Jim Pender
45,Carlton,Bill,Sharkey,4612,Bill Sharkey
46,Carlton,George,Warde,4615,George Warde
47,Carlton,Charlie,Curtis,4600,Charlie Curtis
48,Carlton,Mick,Pender,4611,Mick Pender
49,Carlton,Des,Meadowcroft,4605,Des Meadowcroft
50,Carlton,Dan,Pender,4609,Dan Pender
51,Carlton,Tommy,Kinman,4604,Tommy Kinman
52,Carlton,Jim,Coucher,4599,Jim Coucher
53,Carlton,Alf,Moore,4606,Alf Moore
54,Carlton,Herman,Dohrmann,4601,Herman Dohrmann
55,Carlton,Mick,Donaghy,4602,Mick Donaghy
56,Carlton,Bill,Churchyard,4597,Bill Churchyard
57,Carlton,George,Young,4616,George Young
58,Carlton,Dick,Stewart,4613,Dick Stewart
59,Carlton,Les,Vernon,4614,Les Vernon
60,Carlton,Jim,Balharry,4594,Jim Balharry
61,Carlton,Pat,Considine,4598,Pat Considine
62,Carlton,Jack,Douglas,4603,Jack Douglas
63,Carlton,Henry,Allender,4688,Henry Allender
64,Carlton,Joe,Archer,4689,Joe Archer
65,Carlton,George,Cowell,4618,George Cowell
66,Carlton,Alf,Hearnden,4694,Alf Hearnden
67,Carlton,Bob,Hooper,4695,Bob Hooper
68,Carlton,Bill,McNamara,4697,Bill McNamara
69,Carlton,Henry,McShane,4397,Henry McShane
70,Carlton,Billy,Monagle,4699,Billy Monagle
71,Carlton,Bill,Stuckey,4701,Bill Stuckey
72,Carlton,Bob,Bird,4617,Bob Bird
73,Carlton,Denis,Lanigan,4468,Denis Lanigan
74,Carlton,Arthur,Thompson,4702,Arthur Thompson
75,Carlton,Dick,Walker,4593,Dick Walker
76,Carlton,Artie,McSpeerin,4698,Artie McSpeerin
77,Carlton,Harry,Lewis,4696,Harry Lewis
78,Carlton,Dick,Gorsuch,4693,Dick Gorsuch
79,Carlton,Bill,Collins,4690,Bill Collins
80,Carlton,Harry,Thompson,4534,Harry Thompson
81,Carlton,Harry,Evans,4691,Harry Evans
82,Carlton,Jack,Gilbert,4692,Jack Gilbert
83,Carlton,Victor,Rapp,4700,Victor Rapp
84,Collingwood,George,Calleson,4454,George Calleson
85,Collingwood,Dick,Condon,4455,Dick Condon
86,Collingwood,Charlie,Dow,4456,Charlie Dow
87,Collingwood,Harry,Dowdall,4457,Harry Dowdall
88,Collingwood,Arthur,Gibbs,4460,Arthur Gibbs
89,Collingwood,Wal,Gillard,4461,Wal Gillard
90,Collingwood,Jim,Gregory,4462,Jim Gregory
91,Collingwood,Frank,Hailwood,4463,Frank Hailwood
92,Collingwood,Rhoda,McDonald,4471,Rhoda McDonald
93,Collingwood,Jack,Monohan,4472,Jack Monohan
94,Collingwood,Bill,OBrien,4473,Bill OBrien
95,Collingwood,Charlie,Pannam,4474,Charlie Pannam
96,Collingwood,Tom,Paterson,4475,Tom Paterson
97,Collingwood,Dick,Poole,4476,Dick Poole
98,Collingwood,Bill,Proudfoot,4477,Bill Proudfoot
99,Collingwood,Charlie,Sime,4478,Charlie Sime
100,Collingwood,Archie,Smith,4479,Archie Smith
101,Collingwood,Billy,Strickland,4481,Billy Strickland
102,Collingwood,Lardie,Tulloch,4483,Lardie Tulloch
103,Collingwood,George,Williams,4484,George Williams
104,Collingwood,Alby,Tame,4482,Alby Tame
105,Collingwood,Jim,Dowdall,4458,Jim Dowdall
106,Collingwood,Dick,Hall,4464,Dick Hall
107,Collingwood,Fred,Kay,4467,Fred Kay
108,Collingwood,Danny,Flaherty,4459,Danny Flaherty
109,Collingwood,Denis,Lanigan,4468,Denis Lanigan
110,Collingwood,Fred,Leach,4469,Fred Leach
111,Collingwood,Herman,Hellwig,4465,Herman Hellwig
112,Collingwood,Tom,Lee,4470,Tom Lee
113,Collingwood,Herb,Johnson,4466,Herb Johnson
114,Collingwood,Bill,Stranger,4480,Bill Stranger
115,Collingwood,George,Cowell,4618,George Cowell
116,Collingwood,Matthew,Fell,4619,Matthew Fell
117,Collingwood,Bill,Kennedy,4620,Bill Kennedy
118,Collingwood,Mick,Lynch,4621,Mick Lynch
119,Collingwood,Bobby,McCubbin,4622,Bobby McCubbin
120,Collingwood,Arthur,Leach,4327,Arthur Leach
121,Collingwood,Bob,Bird,4617,Bob Bird
122,Collingwood,Tom,Carmody,4703,Tom Carmody
123,Collingwood,Pat,Fitzgerald,4707,Pat Fitzgerald
124,Collingwood,Jack,Geddes,4708,Jack Geddes
125,Collingwood,Alf,Catlin,4704,Alf Catlin
126,Collingwood,Bob,Rush,4710,Bob Rush
127,Collingwood,Jimmy,Ryan,4711,Jimmy Ryan
