,Name,ID,Playing.for,joiner
1,Bill Ahern,4415,Carlton,Bill Ahern Carlton
2,Jimmy Aitken,4416,Carlton,Jimmy Aitken Carlton
3,Bob Armstrong,4417,Carlton,Bob Armstrong Carlton
4,Tom Blake,4419,Carlton,Tom Blake Carlton
5,Otto Buck,4421,Carlton,Otto Buck Carlton
6,Bob Cameron,4423,Carlton,Bob Cameron Carlton
7,Bill Casey,4424,Carlton,Bill Casey Carlton
8,Arthur Cummins,4427,Carlton,Arthur Cummins Carlton
9,Henry Dunne,4428,Carlton,Henry Dunne Carlton
10,Brook Hannah,4432,Carlton,Brook Hannah Carlton
11,Ted Heffernan,4433,Carlton,Ted Heffernan Carlton
12,George Johnston,4435,Carlton,George Johnston Carlton
13,Henry McPetrie,4439,Carlton,Henry McPetrie Carlton
14,Wally OCock,4441,Carlton,Wally OCock Carlton
15,Joe Paton,4442,Carlton,Joe Paton Carlton
16,Jack Reekie,4445,Carlton,Jack Reekie Carlton
17,Tom Sweetman,4448,Carlton,Tom Sweetman Carlton
18,Ernie Walton,4450,Carlton,Ernie Walton Carlton
19,Bill Weir,4451,Carlton,Bill Weir Carlton
20,Bill Woodhouse,4453,Carlton,Bill Woodhouse Carlton
21,Sam Chapman,4425,Carlton,Sam Chapman Carlton
22,Harry Gyles,4431,Carlton,Harry Gyles Carlton
23,Harry Howard,4434,Carlton,Harry Howard Carlton
24,Alby Patterson,4443,Carlton,Alby Patterson Carlton
25,Peter Williams,4452,Carlton,Peter Williams Carlton
26,Chic Breese,4420,Carlton,Chic Breese Carlton
27,Jim Caffery,4422,Carlton,Jim Caffery Carlton
28,Jim Lyons,4437,Carlton,Jim Lyons Carlton
29,Harry Morgan,4440,Carlton,Harry Morgan Carlton
30,Bobby Walsh,4449,Carlton,Bobby Walsh Carlton
31,Henry Crane,4426,Carlton,Henry Crane Carlton
32,Jack Frost,4429,Carlton,Jack Frost Carlton
33,Jack Roberts,4447,Carlton,Jack Roberts Carlton
34,Oscar Manchester,4438,Carlton,Oscar Manchester Carlton
35,Bill Patterson,4444,Carlton,Bill Patterson Carlton
36,Sam Reid,4446,Carlton,Sam Reid Carlton
37,Herbie Lowenthal,4436,Carlton,Herbie Lowenthal Carlton
38,Jim Goonan,4430,Carlton,Jim Goonan Carlton
39,Billy Arnott,4418,Carlton,Billy Arnott Carlton
40,Fred Barlow,4595,Carlton,Fred Barlow Carlton
41,Charlie Brown,4596,Carlton,Charlie Brown Carlton
42,Len Morrison,4607,Carlton,Len Morrison Carlton
43,Tommy ODay,4608,Carlton,Tommy ODay Carlton
44,Jim Pender,4610,Carlton,Jim Pender Carlton
45,Bill Sharkey,4612,Carlton,Bill Sharkey Carlton
46,George Warde,4615,Carlton,George Warde Carlton
47,Charlie Curtis,4600,Carlton,Charlie Curtis Carlton
48,Mick Pender,4611,Carlton,Mick Pender Carlton
49,Des Meadowcroft,4605,Carlton,Des Meadowcroft Carlton
50,Dan Pender,4609,Carlton,Dan Pender Carlton
51,Tommy Kinman,4604,Carlton,Tommy Kinman Carlton
52,Jim Coucher,4599,Carlton,Jim Coucher Carlton
53,Alf Moore,4606,Carlton,Alf Moore Carlton
54,Herman Dohrmann,4601,Carlton,Herman Dohrmann Carlton
55,Mick Donaghy,4602,Carlton,Mick Donaghy Carlton
56,Bill Churchyard,4597,Carlton,Bill Churchyard Carlton
57,George Young,4616,Carlton,George Young Carlton
58,Dick Stewart,4613,Carlton,Dick Stewart Carlton
59,Les Vernon,4614,Carlton,Les Vernon Carlton
60,Jim Balharry,4594,Carlton,Jim Balharry Carlton
61,Pat Considine,4598,Carlton,Pat Considine Carlton
62,Jack Douglas,4603,Carlton,Jack Douglas Carlton
63,Henry Allender,4688,Carlton,Henry Allender Carlton
64,Joe Archer,4689,Carlton,Joe Archer Carlton
65,George Cowell,4618,Carlton,George Cowell Carlton
66,Alf Hearnden,4694,Carlton,Alf Hearnden Carlton
67,Bob Hooper,4695,Carlton,Bob Hooper Carlton
68,Bill McNamara,4697,Carlton,Bill McNamara Carlton
69,Henry McShane,4397,Carlton,Henry McShane Carlton
70,Billy Monagle,4699,Carlton,Billy Monagle Carlton
71,Bill Stuckey,4701,Carlton,Bill Stuckey Carlton
72,Bob Bird,4617,Carlton,Bob Bird Carlton
73,Denis Lanigan,4468,Carlton,Denis Lanigan Carlton
74,Arthur Thompson,4702,Carlton,Arthur Thompson Carlton
75,Dick Walker,4593,Carlton,Dick Walker Carlton
76,Artie McSpeerin,4698,Carlton,Artie McSpeerin Carlton
77,Harry Lewis,4696,Carlton,Harry Lewis Carlton
78,Dick Gorsuch,4693,Carlton,Dick Gorsuch Carlton
79,Bill Collins,4690,Carlton,Bill Collins Carlton
80,Harry Thompson,4534,Carlton,Harry Thompson Carlton
81,Harry Evans,4691,Carlton,Harry Evans Carlton
82,Jack Gilbert,4692,Carlton,Jack Gilbert Carlton
83,Victor Rapp,4700,Carlton,Victor Rapp Carlton
