Venue,HomeTeam,AwayTeam,League,HomeScore,AwayScore,HomeScoreDiff,HomeResult,Season,Round,time,attendance,date,TimeOfDay,SeasonSection,HomeState,AwayState,Interstate,HomeGroundStatus,GroundDescription,Description,StationNo,Year.y,Month,Day,Rainfall,Daily.global.solar.exposure..MJ.m.m.
Adelaide Oval,Port Adelaide,West Coast,AFL,86,94,-8,0,2016,9,1605,38695,21/05/2016,Day,Regular Season,SA,WA,TRUE,1,Adelaide Oval,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090,2016,5,21,0,10.7
Adelaide Oval,Port Adelaide,Brisbane Lions,AFL,136,59,77,1,2016,7,1610,32399,8/05/2016,Day,Regular Season,SA,QLD,TRUE,1,Adelaide Oval,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090,2016,5,8,0.4,3.6
Adelaide Oval,Port Adelaide,Western Bulldogs,AFL,100,62,38,1,2015,10,1910,40907,6/06/2015,Night,Regular Season,SA,VIC,TRUE,1,Adelaide Oval,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090,2015,6,6,0,9.9
Adelaide Oval,Adelaide,Brisbane Lions,AFL,131,44,87,1,2015,21,1910,46609,22/08/2015,Night,One Team Out Of Finals Contention,SA,QLD,TRUE,1,Adelaide Oval,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090,2015,8,22,0.6,10.1
Adelaide Oval,Port Adelaide,Essendon,AFL,60,62,-2,0,2014,16,1910,46786,5/07/2014,Night,Regular Season,SA,VIC,TRUE,1,Adelaide Oval,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090,2014,7,5,3.2,7.4
Adelaide Oval,Port Adelaide,St Kilda,AFL,133,100,33,1,2016,1,1450,43807,27/03/2016,Day,Regular Season,SA,VIC,TRUE,1,Adelaide Oval,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090,2016,3,27,0,11.5
Adelaide Oval,Adelaide,St Kilda,AFL,111,54,57,1,2017,12,1920,46082,9/06/2017,Night,Regular Season,SA,VIC,TRUE,1,Adelaide Oval,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090,2017,6,9,0.2,5.4
Adelaide Oval,Port Adelaide,Adelaide,AFL,113,116,-3,0,2015,16,1450,53518,19/07/2015,Day,Regular Season,SA,SA,FALSE,0,Both Teams Home Or Opposite,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090,2015,7,19,0,11.4
Adelaide Oval,Port Adelaide,North Melbourne,AFL,127,57,70,1,2017,17,1340,34138,15/07/2017,Day,Regular Season,SA,VIC,TRUE,1,Adelaide Oval,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090,2017,7,15,3.4,9.8
Adelaide Oval,Adelaide,Geelong,AFL,136,75,61,1,2017,26,1920,53817,22/09/2017,Night,Finals,SA,VIC,TRUE,1,Adelaide Oval,  23090 ADELAIDE (KENT TOWN)                     -34.9211  138.6216 Feb 1977 Apr 2017   40.3   99   Y,23090,2017,9,22,0,21.1
