,Player,Team,joiner,Name,ID,Playing.for
1,Aaron Black,Geelong,Aaron Black Geelong,NA,12014,NA
2,Aidyn Johnson,Port Adelaide,Aidyn Johnson Port Adelaide,NA,NA,NA
3,Alex Keath,Adelaide,Alex Keath Adelaide,NA,NA,NA
4,Alex N-Bullen,Melbourne,Alex N-Bullen Melbourne,NA,12367,NA
5,Alex Silvagni,Carlton,Alex Silvagni Carlton,NA,11810,NA
6,Alex Witherden,Brisbane,Alex Witherden Brisbane,NA,NA,NA
7,Alexis Georgiou,Melbourne,Alexis Georgiou Melbourne,NA,12244,NA
8,Anthony M-Tipungwuti,Essendon,Anthony M-Tipungwuti Essendon,NA,12407,NA
9,Ben Long,St Kilda,Ben Long St Kilda,NA,NA,NA
10,Ben McKay,North Melbourne,Ben McKay North Melbourne,NA,NA,NA
11,Ben McNiece,Essendon,Ben McNiece Essendon,NA,NA,NA
12,Benjamin Bucovaz,Fremantle,Benjamin Bucovaz Fremantle,NA,11980,NA
13,Benjamin Griffiths,Richmond,Benjamin Griffiths Richmond,NA,11850,NA
14,Benjamin Speight,North Melbourne,Benjamin Speight North Melbourne,NA,11861,NA
15,Benjamin Stratton,Hawthorn,Benjamin Stratton Hawthorn,NA,11824,NA
16,Brad Scheer,Gold Coast,Brad Scheer Gold Coast,NA,NA,NA
17,Bradley Hartman,Geelong,Bradley Hartman Geelong,NA,12285,NA
18,Bradley Helbig,Richmond,Bradley Helbig Richmond,NA,11890,NA
19,Bradley McKenzie,North Melbourne,Bradley McKenzie North Melbourne,NA,12078,NA
20,Bradley Sheppard,West Coast,Bradley Sheppard West Coast,NA,11843,NA
21,Bradley Walsh,Carlton,Bradley Walsh Carlton,NA,12380,NA
22,Brennan Cox,Fremantle,Brennan Cox Fremantle,NA,NA,NA
23,Brett Deledio,GWS,Brett Deledio GWS,NA,4068,NA
24,Brett O'Hanlon,Richmond,Brett O'Hanlon Richmond,NA,12092,NA
25,Callum Brown,Collingwood,Callum Brown Collingwood,NA,NA,NA
26,Cameron E-Yolmen,Adelaide,Cameron E-Yolmen Adelaide,NA,12283,NA
27,Cameron McCarthy,GWS,Cameron McCarthy GWS,NA,12315,NA
28,Cameron McCarthy,Fremantle,Cameron McCarthy Fremantle,NA,12315,NA
29,Cameron O'Shea,Port Adelaide,Cameron O'Shea Port Adelaide,NA,11887,NA
30,Cameron Polson,Carlton,Cameron Polson Carlton,NA,NA,NA
31,Cameron Zurhaar,North Melbourne,Cameron Zurhaar North Melbourne,NA,NA,NA
32,Cedric Cox,Brisbane,Cedric Cox Brisbane,NA,NA,NA
33,Christopher Johnson,Carlton,Christopher Johnson Carlton,NA,4109,NA
34,Christopher Mayne,Fremantle,Christopher Mayne Fremantle,NA,11642,NA
35,Christopher Mayne,Collingwood,Christopher Mayne Collingwood,NA,11642,NA
36,Christopher Yarran,Carlton,Christopher Yarran Carlton,NA,11750,NA
37,Conor Glass,Hawthorn,Conor Glass Hawthorn,NA,NA,NA
38,Corey Dell'Olio,Essendon,Corey Dell'Olio Essendon,NA,12057,NA
39,Corey Maynard,Melbourne,Corey Maynard Melbourne,NA,NA,NA
40,Curtly Hampton,Adelaide,Curtly Hampton Adelaide,NA,12020,NA
41,Dallas Willsmore,Hawthorn,Dallas Willsmore Hawthorn,NA,NA,NA
42,Daniel Butler,Richmond,Daniel Butler Richmond,NA,12490,NA
43,Daniel Hannebery,Sydney,Daniel Hannebery Sydney,NA,11783,NA
44,Daniel Hughes,Melbourne,Daniel Hughes Melbourne,NA,NA,NA
45,Daniel Lloyd,GWS,Daniel Lloyd GWS,NA,NA,NA
46,Daniel Nielson,North Melbourne,Daniel Nielson North Melbourne,NA,NA,NA
47,Daniel Robinson,Sydney,Daniel Robinson Sydney,NA,12361,NA
48,Daniel Wells,Collingwood,Daniel Wells Collingwood,NA,1427,NA
49,Darcy B-Jones,Port Adelaide,Darcy B-Jones Port Adelaide,NA,12422,NA
50,Darcy Macpherson,Gold Coast,Darcy Macpherson Gold Coast,NA,12438,NA
51,David MacKay,Adelaide,David MacKay Adelaide,NA,1968,NA
52,Dawson Simpson,GWS,Dawson Simpson GWS,NA,11822,NA
53,Dominic Sheed,West Coast,Dominic Sheed West Coast,NA,12253,NA
54,Dylan Van Unen,Essendon,Dylan Van Unen Essendon,NA,12266,NA
55,Ed V-Willis,North Melbourne,Ed V-Willis North Melbourne,NA,NA,NA
56,Edward Curnow,Carlton,Edward Curnow Carlton,NA,11883,NA
57,Eric MacKenzie,West Coast,Eric MacKenzie West Coast,NA,11596,NA
58,Gary Jnr Ablett,Geelong,Gary Jnr Ablett Geelong,NA,1105,NA
59,Gary Jnr Ablett,Gold Coast,Gary Jnr Ablett Gold Coast,NA,1105,NA
60,George H-Smith,Geelong,George H-Smith Geelong,NA,12053,NA
61,Harley Bennell,Fremantle,Harley Bennell Fremantle,NA,11916,NA
62,Harry McKay,Carlton,Harry McKay Carlton,NA,NA,NA
63,Harry Morrison,Hawthorn,Harry Morrison Hawthorn,NA,NA,NA
64,Harry Perryman,GWS,Harry Perryman GWS,NA,NA,NA
65,Hugh Greenwood,Adelaide,Hugh Greenwood Adelaide,NA,NA,NA
66,Ivan Soldo,Richmond,Ivan Soldo Richmond,NA,NA,NA
67,Jack Graham,Richmond,Jack Graham Richmond,NA,NA,NA
68,Jack Scrimshaw,Gold Coast,Jack Scrimshaw Gold Coast,NA,NA,NA
69,Jackson Macrae,Western Bulldogs,Jackson Macrae Western Bulldogs,NA,12166,NA
70,Jacob Allison,Brisbane,Jacob Allison Brisbane,NA,NA,NA
71,Jaeger O'Meara,Gold Coast,Jaeger O'Meara Gold Coast,NA,12141,NA
72,Jaeger O'Meara,Hawthorn,Jaeger O'Meara Hawthorn,NA,12141,NA
73,James Cousins,Hawthorn,James Cousins Hawthorn,NA,NA,NA
74,James Stewart,Essendon,James Stewart Essendon,NA,12232,NA
75,Jamie MacMillan,North Melbourne,Jamie MacMillan North Melbourne,NA,11862,NA
76,Jamie O'Reilly,Richmond,Jamie O'Reilly Richmond,NA,11875,NA
77,Jarrod K-Thomson,Hawthorn,Jarrod K-Thomson Hawthorn,NA,11800,NA
78,Jay K-Harris,Melbourne,Jay K-Harris Melbourne,NA,12245,NA
79,Jay Van Berlo,Fremantle,Jay Van Berlo Fremantle,NA,11784,NA
80,Jeremy Finlayson,GWS,Jeremy Finlayson GWS,NA,NA,NA
81,Jesse O'Brien,Brisbane,Jesse O'Brien Brisbane,NA,11854,NA
82,Joe Atley,Port Adelaide,Joe Atley Port Adelaide,NA,NA,NA
83,Jonathan O'Rourke,GWS,Jonathan O'Rourke GWS,NA,12212,NA
84,Jonathan O'Rourke,Hawthorn,Jonathan O'Rourke Hawthorn,NA,12212,NA
85,Jonathon Beech,Adelaide,Jonathon Beech Adelaide,NA,NA,NA
86,Jordan Cunico,Geelong,Jordan Cunico Geelong,NA,NA,NA
87,Jordan De Goey,Collingwood,Jordan De Goey Collingwood,NA,12318,NA
88,Jordan Gallucci,Adelaide,Jordan Gallucci Adelaide,NA,NA,NA
89,Josh Battle,St Kilda,Josh Battle St Kilda,NA,NA,NA
90,Josh Daicos,Collingwood,Josh Daicos Collingwood,NA,NA,NA
91,Josh D-Cardillo,Fremantle,Josh D-Cardillo Fremantle,NA,NA,NA
92,Josh P. Kennedy,Sydney,Josh P. Kennedy Sydney,NA,11672,NA
93,Josh Williams,North Melbourne,Josh Williams North Melbourne,NA,NA,NA
94,Joshua Begley,Essendon,Joshua Begley Essendon,NA,NA,NA
95,Joshua Bootsma,Carlton,Joshua Bootsma Carlton,NA,12071,NA
96,Joshua Green,Brisbane,Joshua Green Brisbane,NA,11960,NA
97,Joshua Green,Essendon,Joshua Green Essendon,NA,11960,NA
98,Joshua Kelly,GWS,Joshua Kelly GWS,NA,12255,NA
99,Joshua Kennedy,West Coast,Joshua Kennedy West Coast,NA,4169,NA
100,Joshua Prudden,Western Bulldogs,Joshua Prudden Western Bulldogs,NA,12378,NA
101,Joshua Schoenfeld,Gold Coast,Joshua Schoenfeld Gold Coast,NA,12466,NA
102,Joshua Wagner,Melbourne,Joshua Wagner Melbourne,NA,12424,NA
103,Joshua Walker,Geelong,Joshua Walker Geelong,NA,12109,NA
104,Joshua Walker,Brisbane,Joshua Walker Brisbane,NA,12109,NA
105,Kamdyn Mcintosh,Richmond,Kamdyn Mcintosh Richmond,NA,12317,NA
106,Kayle Kirby,Collingwood,Kayle Kirby Collingwood,NA,NA,NA
107,Koby Stevens,St Kilda,Koby Stevens St Kilda,NA,11852,NA
108,Kurt Mutimer,West Coast,Kurt Mutimer West Coast,NA,NA,NA
109,Lachlan Henderson,Carlton,Lachlan Henderson Carlton,NA,11637,NA
110,Lachlan Henderson,Geelong,Lachlan Henderson Geelong,NA,11637,NA
111,Lachlan Hunter,Western Bulldogs,Lachlan Hunter Western Bulldogs,NA,12203,NA
112,Lachlan Plowman,GWS,Lachlan Plowman GWS,NA,12142,NA
113,Lachlan Plowman,Carlton,Lachlan Plowman Carlton,NA,12142,NA
114,Lachlan Weller,Fremantle,Lachlan Weller Fremantle,NA,12385,NA
115,Lewis Melican,Sydney,Lewis Melican Sydney,NA,NA,NA
116,Lewis R-Thomson,Sydney,Lewis R-Thomson Sydney,NA,1453,NA
117,Lewis Young,Western Bulldogs,Lewis Young Western Bulldogs,NA,NA,NA
118,Liam Mcbean,Richmond,Liam Mcbean Richmond,NA,12355,NA
119,Luke Partington,West Coast,Luke Partington West Coast,NA,NA,NA
120,Luke Ryan,Fremantle,Luke Ryan Fremantle,NA,NA,NA
121,Lynden Dunn,Collingwood,Lynden Dunn Collingwood,NA,4166,NA
122,Mark Lecras,West Coast,Mark Lecras West Coast,NA,4114,NA
123,Mark O'Connor,Geelong,Mark O'Connor Geelong,NA,NA,NA
124,Matthew Arnot,Richmond,Matthew Arnot Richmond,NA,12211,NA
125,Matthew Buntine,GWS,Matthew Buntine GWS,NA,12082,NA
126,Matthew De Boer,Fremantle,Matthew De Boer Fremantle,NA,11746,NA
127,Matthew De Boer,GWS,Matthew De Boer GWS,NA,11746,NA
128,Matthew Dea,Richmond,Matthew Dea Richmond,NA,11829,NA
129,Matthew Dea,Essendon,Matthew Dea Essendon,NA,11829,NA
130,Matthew Maguire,Brisbane,Matthew Maguire Brisbane,NA,1136,NA
131,Matthew Mcdonough,Richmond,Matthew Mcdonough Richmond,NA,1136,NA
132,Matthew O'Dwyer,Sydney,Matthew O'Dwyer Sydney,NA,11688,NA
133,Matthew Priddis,West Coast,Matthew Priddis West Coast,NA,4186,NA
134,Matthew Rosa,West Coast,Matthew Rosa West Coast,NA,4133,NA
135,Matthew Rosa,Gold Coast,Matthew Rosa Gold Coast,NA,4133,NA
136,Matthew Scharenberg,Collingwood,Matthew Scharenberg Collingwood,NA,12384,NA
137,Matthew Suckling,Hawthorn,Matthew Suckling Hawthorn,NA,11718,NA
138,Matthew Suckling,Western Bulldogs,Matthew Suckling Western Bulldogs,NA,11718,NA
139,Matthew White,Richmond,Matthew White Richmond,NA,4185,NA
140,Matthew White,Port Adelaide,Matthew White Port Adelaide,NA,4185,NA
141,Max Spencer,Gold Coast,Max Spencer Gold Coast,NA,NA,NA
142,Michael Hibberd,Melbourne,Michael Hibberd Melbourne,NA,11938,NA
143,Michael S. Gardiner,St Kilda,Michael S. Gardiner St Kilda,NA,1056,NA
144,Mitchell Brown,West Coast,Mitchell Brown West Coast,NA,11550,NA
145,Mitchell Brown,Geelong,Mitchell Brown Geelong,NA,11987,NA
146,Mitchell Brown,Essendon,Mitchell Brown Essendon,NA,11987,NA
147,Mitchell Clark,Brisbane,Mitchell Clark Brisbane,NA,4146,NA
148,Mitchell Clark,Melbourne,Mitchell Clark Melbourne,NA,4146,NA
149,Mitchell Clark,Geelong,Mitchell Clark Geelong,NA,4146,NA
150,Mitchell Clisby,Melbourne,Mitchell Clisby Melbourne,NA,12204,NA
151,Mitchell Duncan,Geelong,Mitchell Duncan Geelong,NA,11798,NA
152,Mitchell Golby,Brisbane,Mitchell Golby Brisbane,NA,11976,NA
153,Mitchell Grigg,Adelaide,Mitchell Grigg Adelaide,NA,12216,NA
154,Mitchell Hallahan,Hawthorn,Mitchell Hallahan Hawthorn,NA,12271,NA
155,Mitchell Hallahan,Gold Coast,Mitchell Hallahan Gold Coast,NA,12271,NA
156,Mitchell Hannan,Melbourne,Mitchell Hannan Melbourne,NA,12492,NA
157,Mitchell Wallis,Western Bulldogs,Mitchell Wallis Western Bulldogs,NA,11934,NA
158,Mitchell White,Melbourne,Mitchell White Melbourne,NA,12399,NA
159,Nathan Fyfe,Fremantle,Nathan Fyfe Fremantle,NA,11834,NA
160,Nathan L-Murray,Essendon,Nathan L-Murray Essendon,NA,3938,NA
161,Nathan O'Keefe,North Melbourne,Nathan O'Keefe North Melbourne,NA,11846,NA
162,Nathan Van Berlo,Adelaide,Nathan Van Berlo Adelaide,NA,4075,NA
163,Nial McKeever,Brisbane,Nial McKeever Brisbane,NA,11984,NA
164,Nicholas Duigan,Carlton,Nicholas Duigan Carlton,NA,11882,NA
165,Nicholas Graham,Carlton,Nicholas Graham Carlton,NA,12222,NA
166,Nicholas Heyne,St Kilda,Nicholas Heyne St Kilda,NA,11844,NA
167,Nicholas Kommer,Essendon,Nicholas Kommer Essendon,NA,12138,NA
168,Nicholas Naitanui,West Coast,Nicholas Naitanui West Coast,NA,11768,NA
169,Nicholas O'Brien,Essendon,Nicholas O'Brien Essendon,NA,12131,NA
170,Nicholas Robertson,Brisbane,Nicholas Robertson Brisbane,NA,12264,NA
171,Nicholas Suban,Fremantle,Nicholas Suban Fremantle,NA,11717,NA
172,Nicholas Winmar,St Kilda,Nicholas Winmar St Kilda,NA,461,NA
173,Nick Larkey,North Melbourne,Nick Larkey North Melbourne,NA,NA,NA
174,Oliver Wines,Port Adelaide,Oliver Wines Port Adelaide,NA,12150,NA
175,Patrick Lipinski,Western Bulldogs,Patrick Lipinski Western Bulldogs,NA,NA,NA
176,Patrick McCarthy,Carlton,Patrick McCarthy Carlton,NA,12134,NA
177,Patrick McCartin,St Kilda,Patrick McCartin St Kilda,NA,12339,NA
178,Reilly O'Brien,Adelaide,Reilly O'Brien Adelaide,NA,12473,NA
179,Rhys O'Keeffe,Carlton,Rhys O'Keeffe Carlton,NA,11986,NA
180,Rick Dyson,Essendon,Rick Dyson Essendon,NA,3957,NA
181,Rowan Marshall,St Kilda,Rowan Marshall St Kilda,NA,NA,NA
182,Ryan Nyhuis,Fremantle,Ryan Nyhuis Fremantle,NA,NA,NA
183,Ryan O'Keefe,Sydney,Ryan O'Keefe Sydney,NA,1024,NA
184,Sam P-Pepper,Port Adelaide,Sam P-Pepper Port Adelaide,NA,12494,NA
185,Sam P-Seton,Carlton,Sam P-Seton Carlton,NA,12487,NA
186,Sam Simpson,Geelong,Sam Simpson Geelong,NA,NA,NA
187,Sam Skinner,Brisbane,Sam Skinner Brisbane,NA,NA,NA
188,Samuel Collins,Fremantle,Samuel Collins Fremantle,NA,12444,NA
189,Samuel Reid,Western Bulldogs,Samuel Reid Western Bulldogs,NA,11705,NA
190,Samuel Reid,GWS,Samuel Reid GWS,NA,11705,NA
191,Samuel Wright,North Melbourne,Samuel Wright North Melbourne,NA,11755,NA
192,Sean Darcy,Fremantle,Sean Darcy Fremantle,NA,NA,NA
193,Sebastian Tape,Gold Coast,Sebastian Tape Gold Coast,NA,11918,NA
194,Setanta O'hAilpin,Carlton,Setanta O'hAilpin Carlton,NA,4094,NA
195,Setanta O'hAilpin,GWS,Setanta O'hAilpin GWS,NA,4094,NA
196,Shai Bolton,Richmond,Shai Bolton Richmond,NA,NA,NA
197,Shane O'Bree,Collingwood,Shane O'Bree Collingwood,NA,287,NA
198,Thomas Boyd,GWS,Thomas Boyd GWS,NA,12270,NA
199,Thomas Boyd,Western Bulldogs,Thomas Boyd Western Bulldogs,NA,12270,NA
200,Thomas Couch,Melbourne,Thomas Couch Melbourne,NA,2735,NA
201,Thomas Curren,St Kilda,Thomas Curren St Kilda,NA,12215,NA
202,Thomas Gillies,Geelong,Thomas Gillies Geelong,NA,11777,NA
203,Thomas Gillies,Melbourne,Thomas Gillies Melbourne,NA,11777,NA
204,Thomas Jonas,Port Adelaide,Thomas Jonas Port Adelaide,NA,12002,NA
205,Thomas Lee,St Kilda,Thomas Lee St Kilda,NA,12161,NA
206,Thomas Liberatore,Western Bulldogs,Thomas Liberatore Western Bulldogs,NA,11898,NA
207,Thomas Murphy,Hawthorn,Thomas Murphy Hawthorn,NA,4142,NA
208,Thomas Murphy,Gold Coast,Thomas Murphy Gold Coast,NA,4142,NA
209,Thomas Sheridan,Fremantle,Thomas Sheridan Fremantle,NA,12137,NA
210,Thomas Stewart,Geelong,Thomas Stewart Geelong,NA,12505,NA
211,Thomas Young,Collingwood,Thomas Young Collingwood,NA,12005,NA
212,Thomas Young,Western Bulldogs,Thomas Young Western Bulldogs,NA,12005,NA
213,Tim O'Brien,Hawthorn,Tim O'Brien Hawthorn,NA,12242,NA
214,Tim Sumner,Gold Coast,Tim Sumner Gold Coast,NA,12197,NA
215,Timothy Broomhead,Collingwood,Timothy Broomhead Collingwood,NA,12284,NA
216,Timothy English,Western Bulldogs,Timothy English Western Bulldogs,NA,NA,NA
217,Todd Marshall,Port Adelaide,Todd Marshall Port Adelaide,NA,NA,NA
218,Trent D-Lane,Sydney,Trent D-Lane Sydney,NA,11857,NA
219,Trent D-Lane,St Kilda,Trent D-Lane St Kilda,NA,11857,NA
220,Troy Menzel,Adelaide,Troy Menzel Adelaide,NA,12189,NA
221,Tyrone Vickery,Richmond,Tyrone Vickery Richmond,NA,11767,NA
222,Tyrone Vickery,Hawthorn,Tyrone Vickery Hawthorn,NA,11767,NA
223,Tyson Stengle,Richmond,Tyson Stengle Richmond,NA,NA,NA
224,Will Brodie,Gold Coast,Will Brodie Gold Coast,NA,NA,NA
225,Will H-Elliott,GWS,Will H-Elliott GWS,NA,12026,NA
226,Will H-Elliott,Collingwood,Will H-Elliott Collingwood,NA,12026,NA
227,Will Setterfield,GWS,Will Setterfield GWS,NA,NA,NA
228,William Langford,Hawthorn,William Langford Hawthorn,NA,12214,NA
229,William Sierakowski,North Melbourne,William Sierakowski North Melbourne,NA,12179,NA
230,Wylie Buzza,Geelong,Wylie Buzza Geelong,NA,NA,NA
231,Zac Fisher,Carlton,Zac Fisher Carlton,NA,NA,NA
232,Zac O'Brien,Brisbane,Zac O'Brien Brisbane,NA,12280,NA
233,Zach Guthrie,Geelong,Zach Guthrie Geelong,NA,NA,NA
234,Zachary Clarke,Fremantle,Zachary Clarke Fremantle,NA,11771,NA
235,Zachary Merrett,Essendon,Zachary Merrett Essendon,NA,12241,NA
